title,year,runtime,genre_1,genre_2,director,score,user_ratings,budget,revenue
Avatar Aang: The Last Airbender,2026,99,Animation,Adventure,Lauren Montgomery,91,1113,-,-
Swapped,2026,102,Adventure,Animation,Nathan Greno,89,2175,$7,$7
Accidental Partners,2026,110,Comedy,Romance,Ihtzi Hurtado,89,378,-,-
Facing El Chapo,2026,91,Crime,Action,Chava Cartas,88,628,-,-
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,156,Animation,Action,Haruo Sotozaki,88,2121,"$20,000,000","$733,030,221"
The Shawshank Redemption,1994,142,Drama,Crime,Frank Darabont,87,31306,"$25,000,000","$28,341,469"
The Godfather,1972,175,Drama,Crime,Francis Ford Coppola,87,23536,"$6,000,000","$245,066,411"
Michael,2026,128,Music,Drama,Antoine Fuqua,86,4320,"$250,000,000","$1,032,616,139"
Project Hail Mary,2026,157,Science Fiction,Adventure,Christopher Miller,86,7710,"$200,000,000","$684,234,722"
The Godfather Part II,1974,202,Drama,Crime,Francis Ford Coppola,86,14313,"$13,000,000","$102,600,000"
12 Angry Men,1957,97,Drama,,Sidney Lumet,86,10353,"$397,751","$4,360,000"
Schindler's List,1993,195,Drama,History,Steven Spielberg,86,17892,"$22,000,000","$321,365,567"
Young Hearts,2024,99,Drama,Romance,Anthony Schatteman,86,311,-,"$136,344"
Chainsaw Man - The Movie: Reze Arc,2025,100,Animation,Action,Tatsuya Yoshihara,85,1174,"$4,100,000","$191,400,000"
The Dark Knight,2008,152,Action,Thriller,Christopher Nolan,85,36676,"$185,000,000","$1,004,558,444"
Spirited Away,2001,125,Animation,Family,Hayao Miyazaki,85,18881,"$19,000,000","$274,925,095"
The Green Mile,1999,189,Fantasy,Drama,Frank Darabont,85,19791,"$60,000,000","$286,801,374"
The Lord of the Rings: The Return of the King,2003,201,Adventure,Fantasy,Peter Jackson,85,27329,"$94,000,000","$1,118,888,979"
Dilwale Dulhania Le Jayenge,1995,190,Comedy,Drama,Aditya Chopra,85,4620,"$13,200,000","$100,000,000"
Parasite,2019,133,Comedy,Thriller,Bong Joon Ho,85,21284,"$11,363,000","$257,591,776"
Interstellar,2014,169,Adventure,Drama,Christopher Nolan,85,41125,"$165,000,000","$746,606,706"
Your Name.,2016,106,Animation,Romance,Makoto Shinkai,85,12979,"$7,500,000","$407,210,429"
Pulp Fiction,1994,154,Thriller,Crime,Quentin Tarantino,85,30848,"$8,000,000","$213,928,762"
"The Good, the Bad and the Ugly",1966,161,Western,,Sergio Leone,85,9933,"$1,200,000","$38,900,000"
Forrest Gump,1994,142,Comedy,Drama,Robert Zemeckis,85,30437,"$55,000,000","$677,387,716"
Harakiri,1962,135,Action,Drama,Masaki Kobayashi,85,1274,-,-
Selena Gomez: My Mind & Me,2022,95,Documentary,Music,Alek Keshishian,85,620,-,-
GoodFellas,1990,145,Drama,Crime,Martin Scorsese,85,14739,"$25,000,000","$47,072,327"
Seven Samurai,1954,207,Action,Drama,Akira Kurosawa,85,4364,"$2,000,000","$105,000,000"
Grave of the Fireflies,1988,89,Animation,Drama,Isao Takahata,84,6784,"$3,700,000","$842,132"
¿Quieres ser mi hijo?,2023,100,Comedy,Romance,Ihtzi Hurtado,84,370,-,-
The Lord of the Rings: The Fellowship of the Ring,2001,179,Adventure,Fantasy,Peter Jackson,84,28328,"$93,000,000","$871,368,364"
Life Is Beautiful,1997,116,Comedy,Drama,Roberto Benigni,84,14231,"$20,000,000","$230,098,753"
Fight Club,1999,139,Drama,Thriller,David Fincher,84,32842,"$63,000,000","$100,853,753"
Human,2015,191,Documentary,,Yann Arthus-Bertrand,84,314,"$15,483,821",-
Cinema Paradiso,1988,124,Drama,Romance,Giuseppe Tornatore,84,4971,"$5,000,000","$35,962,062"
David Attenborough: A Life on Our Planet,2020,83,Documentary,Drama,Keith Scholey,84,459,-,-
City of God,2002,129,Drama,Crime,Fernando Meirelles,84,8436,"$3,300,000","$30,641,770"
The Lord of the Rings: The Two Towers,2002,179,Adventure,Fantasy,Peter Jackson,84,24549,"$79,000,000","$926,287,400"
Remarkably Bright Creatures,2026,114,Drama,Mystery,Olivia Newman,84,903,-,-
Everybody’s Everything,2019,116,Documentary,,Sebastian Jones,84,310,-,-
Impossible Things,2021,88,Family,Drama,Ernesto Contreras,84,434,-,-
A Dog's Will,2000,104,Comedy,Drama,Guel Arraes,84,1244,-,"$4,903,192"
Psycho,1960,109,Horror,Thriller,Alfred Hitchcock,84,11245,"$806,947","$50,000,000"
One Flew Over the Cuckoo's Nest,1975,135,Drama,,Miloš Forman,84,11744,"$3,000,000","$108,981,275"
The Legend of Hei,2019,102,Animation,Fantasy,MTJJ,84,554,-,"$48,045,728"
Spider-Man: Into the Spider-Verse,2018,117,Animation,Action,Rodney Rothman,84,17843,"$90,000,000","$394,884,133"
A Silent Voice: The Movie,2016,129,Animation,Drama,Naoko Yamada,84,4679,-,"$30,819,442"
The Empire Strikes Back,1980,124,Adventure,Action,Irvin Kershner,84,18832,"$18,000,000","$538,400,000"
Protector,2026,90,Action,Thriller,Adrian Grünberg,84,578,-,"$1,993,982"
Hope,2013,122,Drama,,Lee Joon-ik,84,914,-,-
Howl's Moving Castle,2004,119,Fantasy,Animation,Hayao Miyazaki,84,11423,"$24,000,000","$236,049,757"
Lucy Shimmers and the Prince of Peace,2020,87,Drama,Family,Rob Diamond,84,375,-,-
High and Low,1963,142,Drama,Crime,Akira Kurosawa,84,1191,"$250,000",-
Se7en,1995,127,Crime,Mystery,David Fincher,84,23749,"$33,000,000","$327,311,859"
Gabriel's Inferno,2020,122,Romance,Drama,Tosca Musk,84,2480,-,-
Whiplash,2014,107,Drama,Music,Damien Chazelle,84,17063,"$3,300,000","$50,307,484"
Once Upon a Time in America,1984,139,Drama,Crime,Sergio Leone,84,6200,"$30,000,000","$5,500,000"
Inception,2010,148,Action,Science Fiction,Christopher Nolan,84,40161,"$160,000,000","$839,030,630"
The Pianist,2002,150,Drama,War,Roman Polanski,84,10429,"$35,000,000","$120,098,945"
Toy Story 5,2026,102,Animation,Family,Andrew Stanton,83,2107,"$250,000,000","$1,136,476,240"
Spider-Man: Across the Spider-Verse,2023,140,Animation,Action,Justin K. Thompson,83,9224,"$100,000,000","$690,897,910"
The Silence of the Lambs,1991,119,Crime,Thriller,Jonathan Demme,83,18480,"$19,000,000","$272,742,922"
Gabriel's Inferno: Part II,2020,106,Romance,Drama,Tosca Musk,83,1562,-,-
Squid Game: Making Season 2,2025,28,Documentary,,,83,460,-,-
Stop Making Sense,1984,88,Documentary,Music,Jonathan Demme,83,387,"$1,200,000","$12,471,520"
Burn the Stage: The Movie,2018,85,Music,Documentary,Park Jun-soo,83,436,-,-
Rear Window,1954,113,Thriller,Mystery,Alfred Hitchcock,83,7350,"$1,000,000","$37,042,336"
Radical,2023,125,Drama,,Christopher Zalla,83,513,"$10,000,000","$21,761,164"
Gabriel's Inferno: Part III,2020,102,Romance,Drama,Tosca Musk,83,1095,-,-
Back to the Future,1985,116,Adventure,Comedy,Robert Zemeckis,83,22367,"$19,000,000","$381,109,762"
American History X,1998,119,Drama,,Tony Kaye,83,12897,"$20,000,000","$23,900,000"
Princess Mononoke,1997,134,Adventure,Fantasy,Hayao Miyazaki,83,9274,"$23,500,000","$176,506,186"
Dou kyu sei – Classmates,2016,61,Romance,Animation,Shoko Nakamura,83,464,-,"$1,397,526"
Ikiru,1952,143,Drama,,Akira Kurosawa,83,1385,"$85,000","$55,240"
Voicemails for Isabelle,2026,119,Romance,Comedy,Leah McKendrick,83,884,-,-
Ennio,2022,156,Documentary,Music,Giuseppe Tornatore,83,390,-,"$4,332,386"
The Wild Robot,2024,102,Family,Animation,Chris Sanders,83,6579,"$78,000,000","$331,982,078"
Perfect Blue,1998,81,Animation,Thriller,Satoshi Kon,83,3344,"$830,442","$2,743,097"
Dead Poets Society,1989,129,Drama,,Peter Weir,83,12949,"$16,400,000","$235,860,116"
Violet Evergarden: The Movie,2020,140,Animation,Drama,Taichi Ishidate,83,542,-,"$20,339,624"
Bring the Soul: The Movie,2019,105,Music,Documentary,Park Jun-soo,83,463,-,"$12,150,259"
Léon: The Professional,1994,111,Crime,Drama,Luc Besson,83,16494,"$16,000,000","$20,330,788"
Dedicated to my ex,2019,94,Drama,Comedy,Jorge Ulloa,83,514,-,"$1,315,376"
The Great Dictator,1940,125,Comedy,War,Charlie Chaplin,83,3802,"$2,000,000","$11,000,000"
We All Loved Each Other So Much,1974,125,Drama,Comedy,Ettore Scola,83,666,-,-
The Quintessential Quintuplets Movie,2022,136,Animation,Comedy,Masato Jimbo,83,456,-,"$3,670,507"
Modern Times,1936,87,Comedy,Drama,Charlie Chaplin,83,4182,"$1,500,000","$1,800,000"
Out of the Clear Blue Sky,2019,112,Comedy,Drama,Pepe Bojórquez,83,392,-,-
Night and Fog,1956,32,Documentary,History,Alain Resnais,83,582,-,-
It's a Wonderful Life,1946,131,Drama,Family,Frank Capra,83,5052,"$3,180,000","$9,644,124"
The Punisher: One Last Kill,2026,51,Action,Drama,Reinaldo Marcus Green,83,2211,-,-
The Intouchables,2011,113,Drama,Comedy,Éric Toledano,83,18798,"$13,000,000","$426,590,315"
Sunset Boulevard,1950,110,Drama,,Billy Wilder,83,3019,"$1,752,000","$5,000,000"
Counterattack,2025,85,Action,Adventure,Chava Cartas,83,856,-,-
Once Upon a Time in the West,1968,166,Drama,Western,Sergio Leone,83,5045,"$5,000,000","$5,380,118"
Neon Genesis Evangelion: The End of Evangelion,1997,87,Animation,Science Fiction,Hideaki Anno,83,1953,"$7,500,000","$26,000,000"
Hotarubi no Mori e,2011,45,Romance,Animation,Takahiro Omori,83,1244,-,-
Apocalypse Now,1979,147,Drama,War,Francis Ford Coppola,83,9366,"$31,500,000","$150,000,000"
The Matrix,1999,136,Action,Science Fiction,Lana Wachowski,83,28698,"$63,000,000","$463,517,383"
Once Upon a Studio,2023,9,Animation,Family,Dan Abraham,83,450,-,-
Michael Jackson's Thriller,1983,14,Horror,Music,John Landis,83,798,"$500,000","$76,000,000"
"Josee, the Tiger and the Fish",2020,98,Animation,Drama,Kotaro Tamura,83,627,-,-
Miracle in Cell No. 7,2019,132,Drama,,Mehmet Ada Öztekin,83,4596,-,"$28,000,000"
Clouds,2020,121,Music,Drama,Justin Baldoni,83,1066,-,-
The Lion King,1994,89,Animation,Family,Roger Allers,83,20125,"$45,000,000","$763,455,561"
Paths of Glory,1957,88,War,Drama,Stanley Kubrick,83,3369,"$935,000","$1,200,000"
I Swear,2025,121,Drama,History,Kirk Jones,83,559,"$3,730,000","$15,564,404"
City Lights,1931,87,Comedy,Drama,Charlie Chaplin,82,2537,"$1,500,000","$4,250,000"
Le Trou,1960,132,Drama,Thriller,Jacques Becker,82,598,-,"$33,187"
Avengers: Infinity War,2018,149,Adventure,Action,Joe Russo,82,32875,"$300,000,000","$2,052,415,039"
Avengers: Endgame,2019,181,Adventure,Science Fiction,Anthony Russo,82,28625,"$356,000,000","$2,799,439,100"
Rascal Does Not Dream of a Dreaming Girl,2019,90,Animation,Romance,Soichi Masui,82,612,-,-
The Legend of 1900,1998,170,Drama,Music,Giuseppe Tornatore,82,2493,"$9,000,000","$21,057,208"
Oldboy,2003,120,Thriller,Mystery,Park Chan-wook,82,10181,"$3,000,000","$17,500,000"
I Want to Eat Your Pancreas,2018,108,Animation,Drama,Shinichiro Ushijima,82,1840,-,"$33,748,006"
The Shadow's Edge,2025,142,Action,Crime,Larry Yang,83,1388,-,"$174,400,000"
A Brighter Summer Day,1991,237,Crime,Drama,Edward Yang,82,405,-,-
Saving Private Ryan,1998,169,War,Drama,Steven Spielberg,82,17755,"$70,000,000","$481,840,909"
For Sama,2019,100,Documentary,War,Edward Watts,82,319,-,-
The Super Mario Galaxy Movie,2026,98,Family,Comedy,Aaron Horvath,82,3659,"$110,000,000","$1,012,203,331"
Baraka,1992,97,Documentary,,Ron Fricke,82,717,"$4,000,000",-
Gladiator,2000,155,Action,Drama,Ridley Scott,82,21470,"$103,000,000","$465,516,248"
Il Sorpasso,1962,105,Drama,Comedy,Dino Risi,82,866,-,"$1,892,298"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,117,Animation,Action,Haruo Sotozaki,82,4672,"$15,700,000","$523,542,183"
Given,2020,60,Animation,Drama,Hikaru Yamaguchi,82,425,-,"$930,363"
Life in a Year,2020,107,Drama,Romance,Mitja Okorn,82,2005,-,-
Green Book,2018,130,Drama,Comedy,Peter Farrelly,82,13220,"$23,000,000","$321,752,656"
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,155,Animation,Action,Hideaki Anno,82,990,"$29,700,000","$93,882,453"
Bound by Honor,1993,190,Crime,Drama,Taylor Hackford,82,1626,"$35,000,000","$4,500,000"
Klaus,2019,97,Animation,Family,Sergio Pablos,82,4816,-,-
Inglourious Basterds,2009,153,Drama,Thriller,Quentin Tarantino,82,24735,"$70,000,000","$321,457,747"
Puss in Boots: The Last Wish,2022,103,Animation,Adventure,Joel Crawford,82,9209,"$90,000,000","$484,700,000"
Woman in the Dunes,1964,147,Drama,Thriller,Hiroshi Teshigahara,82,539,-,-
Wolf Children,2012,117,Animation,Family,Mamoru Hosoda,82,2534,-,"$55,262,158"
Five Feet Apart,2019,116,Romance,Drama,Justin Baldoni,82,5981,"$7,000,000","$92,600,000"
"The Boy, the Mole, the Fox and the Horse",2022,35,Animation,Family,Charlie Mackesy,82,769,-,-
The Prestige,2006,130,Drama,Mystery,Christopher Nolan,82,18099,"$40,000,000","$109,676,311"
One Direction: This Is Us,2013,92,Documentary,Music,Morgan Spurlock,82,1080,"$10,000,000","$68,500,000"
Witness for the Prosecution,1957,116,Drama,Mystery,Billy Wilder,82,1762,"$3,000,000","$9,000,000"
Star Wars,1977,121,Adventure,Action,George Lucas,82,22845,"$11,000,000","$775,398,007"
The Help,2011,146,Drama,,Tate Taylor,82,9265,"$25,000,000","$216,600,000"
The Forge,2024,123,Drama,Family,Alex Kendrick,82,356,"$5,000,000","$40,392,664"
Taylor Swift: Reputation Stadium Tour,2018,125,Music,,Paul Dugdale,82,437,-,-
The Shining,1980,144,Horror,Thriller,Stanley Kubrick,82,19353,"$19,000,000","$50,312,025"
Shutter Island,2010,138,Drama,Thriller,Martin Scorsese,82,26403,"$80,000,000","$294,804,195"
Steven Universe: The Movie,2019,83,Animation,Family,Rebecca Sugar,82,880,-,-
Coco,2017,105,Family,Animation,Lee Unkrich,82,21388,"$175,000,000","$814,641,172"
